Method	GPS	TP	FP	FN	TN	PREC	REC	F1
ALW	50	15.4	1.88	34.6	948.12	0.8912037	0.308	0.457788346717076
ALW	50	19.52	1.36	30.48	948.64	0.9348659	0.3904	0.550790067653593
ALW	50	23.16	1.5	26.84	948.5	0.9391727	0.4632	0.620412526056732
ALM	50	0.02	0.12	49.98	949.88	0.1428571	0.0004	0.000797766253819182
ALM	50	0.04	0.06	49.96	949.94	0.4	0.0008	0.00159680638722555
ALM	50	0.18	0.02	49.82	949.98	0.9	0.0036	0.00717131474103586
ALM	50	0.4	0.12	49.6	949.88	0.7692308	0.008	0.0158353127539464
ALM	50	0.44	0.14	49.56	949.86	0.7586207	0.0088	0.0173981811019692
ALM	50	1.44	0.2	48.56	949.8	0.8780488	0.0288	0.0557707204111645
ALM	50	3.36	0.22	46.64	949.78	0.9385475	0.0672	0.125419932935453
ALM	50	6.36	0.54	43.64	949.46	0.9217391	0.1272	0.223550086978357
ALM	50	1.98	0.3	48.02	949.7	0.8684211	0.0396	0.0757459833477438
ALM	50	5.64	0.36	44.36	949.64	0.94	0.1128	0.201428571428571
ALM	50	11.18	0.68	38.82	949.32	0.9426644	0.2236	0.361461363032259
ALM	50	14.54	0.98	35.46	949.02	0.9368557	0.2908	0.443833947188939
ALM	50	5.96	0.66	44.04	949.34	0.9003021	0.1192	0.210526315384735
ALM	50	11.52	0.78	38.48	949.22	0.9365854	0.2304	0.369823437653976
ALM	50	15.94	1.06	34.06	948.94	0.9376471	0.3188	0.475820900824237
ALM	50	20.16	1.3	29.84	948.7	0.9394222	0.4032	0.564231741498092
ALM	50	10.86	1.06	39.14	948.94	0.9110738	0.2172	0.350775191908205
ALM	50	16.26	1.2	33.74	948.8	0.9312715	0.3252	0.48206344799703
ALM	50	19.9	1.18	30.1	948.82	0.9440228	0.398	0.559932475662858
ALM	50	23.36	1.52	26.64	948.48	0.9389068	0.4672	0.623931634439148
GSA	100	0	0.02	50	949.98	0	0	0
GSA	100	0	0	50	950	0	0	0
GSA	100	0	0	50	950	0	0	0
GSA	100	0.06	0.02	49.94	949.98	0.75	0.0012	0.0023961661341853
GSA	100	0	0.02	50	949.98	0	0	0
GSA	100	0.02	0	49.98	950	1	0.0004	0.00079968012794882
GSA	100	0.74	0.12	49.26	949.88	0.8604651	0.0148	0.0290994887834554
GSA	100	5.72	0.56	44.28	949.44	0.910828	0.1144	0.203269366814016
GSA	100	0.02	0.02	49.98	949.98	0.5	0.0004	0.000799360511590727
GSA	100	0.76	0.14	49.24	949.86	0.8444444	0.0152	0.0298624754142527
GSA	100	7.08	0.6	42.92	949.4	0.921875	0.1416	0.245492371705964
GSA	100	25.8	3.66	24.2	946.34	0.8757637	0.516	0.649383324482453
GSA	100	0.16	0.06	49.84	949.94	0.7272727	0.0032	0.00637196336016391
GSA	100	4.8	0.32	45.2	949.68	0.9375	0.096	0.174165457184325
GSA	100	22.64	4.2	27.36	945.8	0.8435171	0.4528	0.589276409113171
GSA	100	49.86	18.86	0.14	931.14	0.725553	0.9972	0.8399595897961
GSA	100	1.08	0.08	48.92	949.92	0.9310345	0.0216	0.0422204847714417
GSA	100	9.16	0.9	40.84	949.1	0.9105368	0.1832	0.305028306188472
GSA	100	49.4	16.32	0.6	933.68	0.7516738	0.988	0.853785019237514
GSA	100	50	22.3	0	927.7	0.6915629	1	0.817661465618571
LAT	100	0.04	0.04	49.96	949.96	0.5	0.0008	0.00159744408945687
LAT	100	0.1	0.08	49.9	949.92	0.5555556	0.002	0.00398565165518919
LAT	100	0.48	0.2	49.52	949.8	0.7058824	0.0096	0.0189423836002116
LAT	100	1.32	0.7	48.68	949.3	0.6534653	0.0264	0.0507497115090298
LAT	100	1.44	0.24	48.56	949.76	0.8571429	0.0288	0.0557275542701454
LAT	100	4.2	1.9	45.8	948.1	0.6885246	0.084	0.149732620553443
LAT	100	11.4	3.1	38.6	946.9	0.7862069	0.228	0.35348837244156
LAT	100	18.42	5.62	31.58	944.38	0.766223	0.3684	0.49756888975457
LAT	100	8.12	2.52	41.88	947.48	0.7631579	0.1624	0.267810026709296
LAT	100	17.3	5.3	32.7	944.7	0.7654867	0.346	0.476584017064712
LAT	100	25.92	5.52	24.08	944.48	0.8244275	0.5184	0.636542245374034
LAT	100	34.9	3.98	15.1	946.02	0.8976337	0.698	0.785328515686276
LAT	100	19.06	3.76	30.94	946.24	0.8352323	0.3812	0.523482569083376
LAT	100	29.14	5.52	20.86	944.48	0.8407386	0.5828	0.688400660270118
LAT	100	34.68	4.42	15.32	945.58	0.8869565	0.6936	0.778451170078387
LAT	100	41.94	2.38	8.06	947.62	0.9462996	0.8388	0.889312959881902
LAT	100	29.36	3.76	20.64	946.24	0.8864734	0.5872	0.706448498670058
LAT	100	35.76	4.52	14.24	945.48	0.8877855	0.7152	0.792202037510632
LAT	100	40.36	3.08	9.64	946.92	0.9290976	0.8072	0.863869860466316
